name,album,artist,artist_top_genre,release_date,length,popularity,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,Gender ,Source 
This Year (Odun Yi),A Jungle Christmas 2014,The Jungle Collective,afro dancehall,2014,230505,0,0.638,0.633,0.51,0,0.0885,-10.331,0.149,85.848,4,Male,https://www.google.com/search?q=harrysong&sxsrf=AOaemvK-I50pCUrI3GBsXyfkty1jGUp3XQ%3A1638347374368&ei=bjKnYZLqFZCVgQa_g4SYDw&ved=0ahUKEwiS2ZHKl8L0AhWQSsAKHb8BAfMQ4dUDCA4&uact=5&oq=harrysong&gs_lcp=Cgdnd3Mtd2l6EAMyBQguEJECMgUILhCRAjIFCAAQkQIyBQgAEIAEMgUIABCABDIFCC4QkQIyBQgAEIAEMgUILhCRAjIFCAAQgAQyBQguEIAEOgcIABBHELADOgcIABCwAxBDOgoILhDIAxCwAxBDOgQILhAnOgQIIxAnOgQILhBDOgsIABCABBCxAxCDAToRCC4QgAQQsQMQgwEQxwEQowI6DgguEIAEELEDEMcBEKMCOggILhCABBCxAzoRCC4QgAQQsQMQgwEQxwEQ0QM6DgguEIAEELEDEMcBEK8BOggIABCxAxCDAToICAAQgAQQsQM6DgguEIAEELEDEMcBENEDOgsILhCABBDHARCvAToHCC4QgAQQCjoNCC4QgAQQxwEQrwEQCjoHCC4QsQMQCjoHCAAQsQMQCjoNCC4QsQMQxwEQ0QMQCjoICC4QsQMQgwE6EAguELEDEIMBEMcBEK8BEApKBAhBGABQvAVYwhFg6hJoAnACeACAAYMBiAG_B5IBAzMuNpgBAKABAcgBD8ABAQ&sclient=gws-wiz
Lefenuso,Aproko City,Lord Of Ajasa,nigerian hip hop,2016,234267,6,0.805,0.626,0.929,0,0.0781,-1.614,0.324,108.017,4,Male,https://www.google.com/search?q=harrysong&sxsrf=AOaemvK-I50pCUrI3GBsXyfkty1jGUp3XQ%3A1638347374368&ei=bjKnYZLqFZCVgQa_g4SYDw&ved=0ahUKEwiS2ZHKl8L0AhWQSsAKHb8BAfMQ4dUDCA4&uact=5&oq=harrysong&gs_lcp=Cgdnd3Mtd2l6EAMyBQguEJECMgUILhCRAjIFCAAQkQIyBQgAEIAEMgUIABCABDIFCC4QkQIyBQgAEIAEMgUILhCRAjIFCAAQgAQyBQguEIAEOgcIABBHELADOgcIABCwAxBDOgoILhDIAxCwAxBDOgQILhAnOgQIIxAnOgQILhBDOgsIABCABBCxAxCDAToRCC4QgAQQsQMQgwEQxwEQowI6DgguEIAEELEDEMcBEKMCOggILhCABBCxAzoRCC4QgAQQsQMQgwEQxwEQ0QM6DgguEIAEELEDEMcBEK8BOggIABCxAxCDAToICAAQgAQQsQM6DgguEIAEELEDEMcBENEDOgsILhCABBDHARCvAToHCC4QgAQQCjoNCC4QgAQQxwEQrwEQCjoHCC4QsQMQCjoHCAAQsQMQCjoNCC4QsQMQxwEQ0QMQCjoICC4QsQMQgwE6EAguELEDEIMBEMcBEK8BEApKBAhBGABQvAVYwhFg6hJoAnACeACAAYMBiAG_B5IBAzMuNpgBAKABAcgBD8ABAQ&sclient=gws-wiz
Lori Le,Turn It Up,X Project,na,2010,243017,25,0.801,0.00907,0.819,1.32E-05,0.0652,-4.66,0.107,140.009,4,Male,https://www.google.com/search?q=harrysong&sxsrf=AOaemvK-I50pCUrI3GBsXyfkty1jGUp3XQ%3A1638347374368&ei=bjKnYZLqFZCVgQa_g4SYDw&ved=0ahUKEwiS2ZHKl8L0AhWQSsAKHb8BAfMQ4dUDCA4&uact=5&oq=harrysong&gs_lcp=Cgdnd3Mtd2l6EAMyBQguEJECMgUILhCRAjIFCAAQkQIyBQgAEIAEMgUIABCABDIFCC4QkQIyBQgAEIAEMgUILhCRAjIFCAAQgAQyBQguEIAEOgcIABBHELADOgcIABCwAxBDOgoILhDIAxCwAxBDOgQILhAnOgQIIxAnOgQILhBDOgsIABCABBCxAxCDAToRCC4QgAQQsQMQgwEQxwEQowI6DgguEIAEELEDEMcBEKMCOggILhCABBCxAzoRCC4QgAQQsQMQgwEQxwEQ0QM6DgguEIAEELEDEMcBEK8BOggIABCxAxCDAToICAAQgAQQsQM6DgguEIAEELEDEMcBENEDOgsILhCABBDHARCvAToHCC4QgAQQCjoNCC4QgAQQxwEQrwEQCjoHCC4QsQMQCjoHCAAQsQMQCjoNCC4QsQMQxwEQ0QMQCjoICC4QsQMQgwE6EAguELEDEIMBEMcBEK8BEApKBAhBGABQvAVYwhFg6hJoAnACeACAAYMBiAG_B5IBAzMuNpgBAKABAcgBD8ABAQ&sclient=gws-wiz
Gongo Aso,Gongo Aso,9ice,afro dancehall,2008,224306,39,0.824,0.245,0.965,9.84E-05,0.0983,-2.742,0.0409,110.03,4,Male,https://www.google.com/search?q=harrysong&sxsrf=AOaemvK-I50pCUrI3GBsXyfkty1jGUp3XQ%3A1638347374368&ei=bjKnYZLqFZCVgQa_g4SYDw&ved=0ahUKEwiS2ZHKl8L0AhWQSsAKHb8BAfMQ4dUDCA4&uact=5&oq=harrysong&gs_lcp=Cgdnd3Mtd2l6EAMyBQguEJECMgUILhCRAjIFCAAQkQIyBQgAEIAEMgUIABCABDIFCC4QkQIyBQgAEIAEMgUILhCRAjIFCAAQgAQyBQguEIAEOgcIABBHELADOgcIABCwAxBDOgoILhDIAxCwAxBDOgQILhAnOgQIIxAnOgQILhBDOgsIABCABBCxAxCDAToRCC4QgAQQsQMQgwEQxwEQowI6DgguEIAEELEDEMcBEKMCOggILhCABBCxAzoRCC4QgAQQsQMQgwEQxwEQ0QM6DgguEIAEELEDEMcBEK8BOggIABCxAxCDAToICAAQgAQQsQM6DgguEIAEELEDEMcBENEDOgsILhCABBDHARCvAToHCC4QgAQQCjoNCC4QgAQQxwEQrwEQCjoHCC4QsQMQCjoHCAAQsQMQCjoNCC4QsQMQxwEQ0QMQCjoICC4QsQMQgwE6EAguELEDEIMBEMcBEK8BEApKBAhBGABQvAVYwhFg6hJoAnACeACAAYMBiAG_B5IBAzMuNpgBAKABAcgBD8ABAQ&sclient=gws-wiz
Street Credibility,Gongo Aso,9ice,afro dancehall,2008,288413,34,0.474,0.496,0.737,0,0.12,-3.781,0.352,87.635,4,Male,https://www.google.com/search?q=humble+smith&sxsrf=AOaemvJeeApidvaSQt6ehzJoZuY1NQErrw%3A1638347059567&ei=MzGnYafxIceM8gKa45OACQ&gs_ssp=eJzj4tbP1TcwNDQ0zys3M2D04skozU3KSVUozs0syQAAZ1AIPw&oq=humble&gs_lcp=Cgdnd3Mtd2l6EAMYADIFCC4QkQIyDQguELEDEMcBENEDEEMyBwguELEDEEMyBwgAELEDEEMyCAguEIAEELEDMggIABCABBCxAzIFCAAQsQMyDgguEIAEELEDEMcBEK8BMg4ILhCABBCxAxDHARCvATIICAAQgAQQsQM6BwgAEEcQsAM6BwgAELADEEM6CgguEMgDELADEEM6BAgjECc6BQgAEJECOgsIABCABBCxAxCDAToRCC4QgAQQsQMQgwEQxwEQowI6DgguEIAEELEDEMcBEKMCOgQILhBDOgQIABBDOgsILhCABBCxAxCDAToOCC4QgAQQsQMQxwEQ0QM6BQgAEIAEOgsILhCABBDHARCvAUoECEEYAFCgB1iNDmD0F2gDcAJ4AIABiwGIAcgFkgEDMC42mAEAoAEByAEPwAEB&sclient=gws-wiz
Who Born The Maja,Mushin2Mohits,Wande Coal,afro dancehall,2009,187000,0,0.826,0.172,0.626,0,0.103,-9.68,0.135,95.426,4,Male,https://www.google.com/search?q=ice+prince&oq=ice+prince&aqs=chrome.0.0i67i355j46i67j46i433i512j0i67j46i67l2j0i512j46i512j0i512l2.1236j0j9&sourceid=chrome&ie=UTF-8
Kokoma,Kokoma,K9,na,2012,201599,0,0.893,0.0584,0.915,4.46E-06,0.0755,-1.863,0.12,125.049,4,Male,https://www.google.com/search?q=ice+prince&oq=ice+prince&aqs=chrome.0.0i67i355j46i67j46i433i512j0i67j46i67l2j0i512j46i512j0i512l2.1236j0j9&sourceid=chrome&ie=UTF-8
Gbamu-Gbamu,Tradition,9ice,afro dancehall,2009,241011,26,0.568,0.205,0.935,0,0.157,-2.266,0.23,88.516,5,Male,https://www.google.com/search?q=ice+prince&oq=ice+prince&aqs=chrome.0.0i67i355j46i67j46i433i512j0i67j46i67l2j0i512j46i512j0i512l2.1236j0j9&sourceid=chrome&ie=UTF-8
Beautiful Onyinye,The Invasion,P-Square,afro dancehall,2011,292106,37,0.709,0.687,0.793,8.11E-06,0.123,-4.725,0.057,99.96,4,Male,https://www.google.com/search?q=ice+prince&oq=ice+prince&aqs=chrome.0.0i67i355j46i67j46i433i512j0i67j46i67l2j0i512j46i512j0i512l2.1236j0j9&sourceid=chrome&ie=UTF-8
Do Me,Game Over,P-Square,afro dancehall,2008,281306,19,0.824,0.505,0.918,0,0.0415,-2.311,0.117,103.049,4,Male,https://www.google.com/search?q=ichechukwu+&sxsrf=AOaemvKXn_TteUHxexdKIHB-12KXWYb7iA%3A1638269471294&ei=HwKmYYiyEf6AhbIP2OGacA&ved=0ahUKEwjIvYev9b_0AhV-QEEAHdiwBg4Q4dUDCA8&uact=5&oq=ichechukwu+&gs_lcp=Cgdnd3Mtd2l6EAMyBAgAEA0yBAgAEA0yBAguEA0yBAguEA0yBAguEA0yBAgAEA0yBAgAEA0yBAgAEA0yBAgAEA0yBAgAEA06BwgAEEcQsAM6BwgAELADEEM6CgguEMgDELADEEM6BAgjECc6BAguEEM6CwgAEIAEELEDEIMBOg4ILhCABBCxAxDHARCjAjoICC4QsQMQgwE6DgguEIAEELEDEMcBENEDOgUILhCRAjoECAAQQzoFCC4QgAQ6CAgAEIAEELEDOggILhCxAxCRAjoLCC4QxwEQrwEQkQI6BQgAEIAEOggILhCABBCxAzoHCAAQsQMQCjoHCAAQgAQQCjoECAAQCjoECC4QCjoGCAAQDRAeSgQIQRgAUKAGWPUmYO0oaANwAngAgAF-iAG5B5IBBDEwLjGYAQCgAQHIAQ_AAQE&sclient=gws-wiz
Booty Call,Currliculum Vitae,Mo' Hits All Stars,afro dancehall,2009,314000,0,0.825,0.203,0.918,1.34E-06,0.144,-1.559,0.212,129.389,5,Male,https://www.google.com/search?q=illbliss&oq=illbliss&aqs=chrome..69i57j46i67j0i512l3j46i512l5.3438j0j4&sourceid=chrome&ie=UTF-8
1er Gaou - Version originale,1er Gaou (Album original),Magic System,afropop,2012,295146,0,0.835,0.14,0.86,0,0.0767,-6.872,0.0621,119.044,4,Male,https://www.google.com/search?q=iyanya&biw=1440&bih=720&sxsrf=AOaemvKgqqT1kGt3qOaPPFr5d1-gwKbyag%3A1638267670055&ei=FvulYdTvAqXD8gKhs4mICg&ved=0ahUKEwjU0pTU7r_0AhWloVwKHaFZAqEQ4dUDCA8&uact=5&oq=iyanya&gs_lcp=Cgdnd3Mtd2l6EAMyBAguEEMyBQguEIAEMgUIABCABDIFCAAQgAQyBQguEIAEMgUILhCABDIFCAAQgAQyBQgAEIAEMgUIABCABDIFCC4QgAQ6BwgAEEcQsAM6CgguEMgDELADEEM6BAgjECc6BAguECc6CwgAEIAEELEDEIMBOg4ILhCABBCxAxDHARCjAjoICC4QsQMQgwE6CAguEIAEELEDOggIABCxAxCDAToKCC4QgAQQhwIQFDoHCC4QsQMQQ0oECEEYAFDIB1ikE2CyFmgDcAJ4AIABa4gB4gOSAQM1LjGYAQCgAQHIAQ7AAQE&sclient=gws-wiz
My Car,My Car,Tony Tetuila,afro dancehall,2001,248426,24,0.917,0.25,0.707,0.00602,0.323,-10.512,0.0933,110.049,4,Male,https://www.google.com/search?q=iyanya&biw=1440&bih=720&sxsrf=AOaemvKgqqT1kGt3qOaPPFr5d1-gwKbyag%3A1638267670055&ei=FvulYdTvAqXD8gKhs4mICg&ved=0ahUKEwjU0pTU7r_0AhWloVwKHaFZAqEQ4dUDCA8&uact=5&oq=iyanya&gs_lcp=Cgdnd3Mtd2l6EAMyBAguEEMyBQguEIAEMgUIABCABDIFCAAQgAQyBQguEIAEMgUILhCABDIFCAAQgAQyBQgAEIAEMgUIABCABDIFCC4QgAQ6BwgAEEcQsAM6CgguEMgDELADEEM6BAgjECc6BAguECc6CwgAEIAEELEDEIMBOg4ILhCABBCxAxDHARCjAjoICC4QsQMQgwE6CAguEIAEELEDOggIABCxAxCDAToKCC4QgAQQhwIQFDoHCC4QsQMQQ0oECEEYAFDIB1ikE2CyFmgDcAJ4AIABa4gB4gOSAQM1LjGYAQCgAQHIAQ7AAQE&sclient=gws-wiz
See Me So,Nigeria Gold,Various Artists,afro dancehall,2011,278746,0,0.735,0.0823,0.482,0,0.0928,-6.68,0.427,195.886,4,Male,https://www.google.com/search?q=iyanya&biw=1440&bih=720&sxsrf=AOaemvKgqqT1kGt3qOaPPFr5d1-gwKbyag%3A1638267670055&ei=FvulYdTvAqXD8gKhs4mICg&ved=0ahUKEwjU0pTU7r_0AhWloVwKHaFZAqEQ4dUDCA8&uact=5&oq=iyanya&gs_lcp=Cgdnd3Mtd2l6EAMyBAguEEMyBQguEIAEMgUIABCABDIFCAAQgAQyBQguEIAEMgUILhCABDIFCAAQgAQyBQgAEIAEMgUIABCABDIFCC4QgAQ6BwgAEEcQsAM6CgguEMgDELADEEM6BAgjECc6BAguECc6CwgAEIAEELEDEIMBOg4ILhCABBCxAxDHARCjAjoICC4QsQMQgwE6CAguEIAEELEDOggIABCxAxCDAToKCC4QgAQQhwIQFDoHCC4QsQMQQ0oECEEYAFDIB1ikE2CyFmgDcAJ4AIABa4gB4gOSAQM1LjGYAQCgAQHIAQ7AAQE&sclient=gws-wiz
Fi Mi Le,a.k.a Fi Mi Le,Kas,na,2011,218331,22,0.917,0.0352,0.829,2.60E-05,0.241,-5.129,0.195,104.946,4,Male,https://www.google.com/search?q=iyanya&biw=1440&bih=720&sxsrf=AOaemvKgqqT1kGt3qOaPPFr5d1-gwKbyag%3A1638267670055&ei=FvulYdTvAqXD8gKhs4mICg&ved=0ahUKEwjU0pTU7r_0AhWloVwKHaFZAqEQ4dUDCA8&uact=5&oq=iyanya&gs_lcp=Cgdnd3Mtd2l6EAMyBAguEEMyBQguEIAEMgUIABCABDIFCAAQgAQyBQguEIAEMgUILhCABDIFCAAQgAQyBQgAEIAEMgUIABCABDIFCC4QgAQ6BwgAEEcQsAM6CgguEMgDELADEEM6BAgjECc6BAguECc6CwgAEIAEELEDEIMBOg4ILhCABBCxAxDHARCjAjoICC4QsQMQgwE6CAguEIAEELEDOggIABCxAxCDAToKCC4QgAQQhwIQFDoHCC4QsQMQQ0oECEEYAFDIB1ikE2CyFmgDcAJ4AIABa4gB4gOSAQM1LjGYAQCgAQHIAQ7AAQE&sclient=gws-wiz
Oleku (feat. Brymo),Oleku (feat. Brymo),Ice Prince,afro dancehall,2010,291363,38,0.544,0.344,0.73,1.36E-06,0.14,-4.299,0.144,162.112,5,Male,https://www.google.com/search?q=iyanya&biw=1440&bih=720&sxsrf=AOaemvKgqqT1kGt3qOaPPFr5d1-gwKbyag%3A1638267670055&ei=FvulYdTvAqXD8gKhs4mICg&ved=0ahUKEwjU0pTU7r_0AhWloVwKHaFZAqEQ4dUDCA8&uact=5&oq=iyanya&gs_lcp=Cgdnd3Mtd2l6EAMyBAguEEMyBQguEIAEMgUIABCABDIFCAAQgAQyBQguEIAEMgUILhCABDIFCAAQgAQyBQgAEIAEMgUIABCABDIFCC4QgAQ6BwgAEEcQsAM6CgguEMgDELADEEM6BAgjECc6BAguECc6CwgAEIAEELEDEIMBOg4ILhCABBCxAxDHARCjAjoICC4QsQMQgwE6CAguEIAEELEDOggIABCxAxCDAToKCC4QgAQQhwIQFDoHCC4QsQMQQ0oECEEYAFDIB1ikE2CyFmgDcAJ4AIABa4gB4gOSAQM1LjGYAQCgAQHIAQ7AAQE&sclient=gws-wiz
Ara,#TheSonOfaKapenta,Brymo,afro dancehall,2012,256813,33,0.668,0.435,0.908,4.41E-05,0.112,-4.988,0.111,129.982,4,Male,https://www.google.com/search?q=iyanya&biw=1440&bih=720&sxsrf=AOaemvKgqqT1kGt3qOaPPFr5d1-gwKbyag%3A1638267670055&ei=FvulYdTvAqXD8gKhs4mICg&ved=0ahUKEwjU0pTU7r_0AhWloVwKHaFZAqEQ4dUDCA8&uact=5&oq=iyanya&gs_lcp=Cgdnd3Mtd2l6EAMyBAguEEMyBQguEIAEMgUIABCABDIFCAAQgAQyBQguEIAEMgUILhCABDIFCAAQgAQyBQgAEIAEMgUIABCABDIFCC4QgAQ6BwgAEEcQsAM6CgguEMgDELADEEM6BAgjECc6BAguECc6CwgAEIAEELEDEIMBOg4ILhCABBCxAxDHARCjAjoICC4QsQMQgwE6CAguEIAEELEDOggIABCxAxCDAToKCC4QgAQQhwIQFDoHCC4QsQMQQ0oECEEYAFDIB1ikE2CyFmgDcAJ4AIABa4gB4gOSAQM1LjGYAQCgAQHIAQ7AAQE&sclient=gws-wiz
Pere,Currliculum Vitae,Mo' Hits All Stars,afro dancehall,2009,254000,0,0.842,0.0512,0.837,1.54E-06,0.172,-4.388,0.137,115.001,4,Male,https://www.google.com/search?q=iyanya&biw=1440&bih=720&sxsrf=AOaemvKgqqT1kGt3qOaPPFr5d1-gwKbyag%3A1638267670055&ei=FvulYdTvAqXD8gKhs4mICg&ved=0ahUKEwjU0pTU7r_0AhWloVwKHaFZAqEQ4dUDCA8&uact=5&oq=iyanya&gs_lcp=Cgdnd3Mtd2l6EAMyBAguEEMyBQguEIAEMgUIABCABDIFCAAQgAQyBQguEIAEMgUILhCABDIFCAAQgAQyBQgAEIAEMgUIABCABDIFCC4QgAQ6BwgAEEcQsAM6CgguEMgDELADEEM6BAgjECc6BAguECc6CwgAEIAEELEDEIMBOg4ILhCABBCxAxDHARCjAjoICC4QsQMQgwE6CAguEIAEELEDOggIABCxAxCDAToKCC4QgAQQhwIQFDoHCC4QsQMQQ0oECEEYAFDIB1ikE2CyFmgDcAJ4AIABa4gB4gOSAQM1LjGYAQCgAQHIAQ7AAQE&sclient=gws-wiz
Sound Track,Singles,May D,afro dancehall,2012,294112,0,0.635,0.458,0.582,2.22E-06,0.0928,-4.05,0.0771,118.006,4,Male,https://www.google.com/search?q=iyanya&biw=1440&bih=720&sxsrf=AOaemvKgqqT1kGt3qOaPPFr5d1-gwKbyag%3A1638267670055&ei=FvulYdTvAqXD8gKhs4mICg&ved=0ahUKEwjU0pTU7r_0AhWloVwKHaFZAqEQ4dUDCA8&uact=5&oq=iyanya&gs_lcp=Cgdnd3Mtd2l6EAMyBAguEEMyBQguEIAEMgUIABCABDIFCAAQgAQyBQguEIAEMgUILhCABDIFCAAQgAQyBQgAEIAEMgUIABCABDIFCC4QgAQ6BwgAEEcQsAM6CgguEMgDELADEEM6BAgjECc6BAguECc6CwgAEIAEELEDEIMBOg4ILhCABBCxAxDHARCjAjoICC4QsQMQgwE6CAguEIAEELEDOggIABCxAxCDAToKCC4QgAQQhwIQFDoHCC4QsQMQQ0oECEEYAFDIB1ikE2CyFmgDcAJ4AIABa4gB4gOSAQM1LjGYAQCgAQHIAQ7AAQE&sclient=gws-wiz
Imagine That,Expressions,Styl-Plus,afro dancehall,2007,299826,34,0.701,0.0501,0.885,0,0.0429,-1.203,0.12,124.989,4,Male,https://www.google.com/search?q=iyanya&biw=1440&bih=720&sxsrf=AOaemvKgqqT1kGt3qOaPPFr5d1-gwKbyag%3A1638267670055&ei=FvulYdTvAqXD8gKhs4mICg&ved=0ahUKEwjU0pTU7r_0AhWloVwKHaFZAqEQ4dUDCA8&uact=5&oq=iyanya&gs_lcp=Cgdnd3Mtd2l6EAMyBAguEEMyBQguEIAEMgUIABCABDIFCAAQgAQyBQguEIAEMgUILhCABDIFCAAQgAQyBQgAEIAEMgUIABCABDIFCC4QgAQ6BwgAEEcQsAM6CgguEMgDELADEEM6BAgjECc6BAguECc6CwgAEIAEELEDEIMBOg4ILhCABBCxAxDHARCjAjoICC4QsQMQgwE6CAguEIAEELEDOggIABCxAxCDAToKCC4QgAQQhwIQFDoHCC4QsQMQQ0oECEEYAFDIB1ikE2CyFmgDcAJ4AIABa4gB4gOSAQM1LjGYAQCgAQHIAQ7AAQE&sclient=gws-wiz
Olufunmi,Call My Name,Styl-Plus,afro dancehall,2012,309146,18,0.597,0.45,0.773,0,0.166,-5.496,0.109,113.197,4,Male,https://www.google.com/search?q=iyanya&biw=1440&bih=720&sxsrf=AOaemvKgqqT1kGt3qOaPPFr5d1-gwKbyag%3A1638267670055&ei=FvulYdTvAqXD8gKhs4mICg&ved=0ahUKEwjU0pTU7r_0AhWloVwKHaFZAqEQ4dUDCA8&uact=5&oq=iyanya&gs_lcp=Cgdnd3Mtd2l6EAMyBAguEEMyBQguEIAEMgUIABCABDIFCAAQgAQyBQguEIAEMgUILhCABDIFCAAQgAQyBQgAEIAEMgUIABCABDIFCC4QgAQ6BwgAEEcQsAM6CgguEMgDELADEEM6BAgjECc6BAguECc6CwgAEIAEELEDEIMBOg4ILhCABBCxAxDHARCjAjoICC4QsQMQgwE6CAguEIAEELEDOggIABCxAxCDAToKCC4QgAQQhwIQFDoHCC4QsQMQQ0oECEEYAFDIB1ikE2CyFmgDcAJ4AIABa4gB4gOSAQM1LjGYAQCgAQHIAQ7AAQE&sclient=gws-wiz
Call My Name,Call My Name,Styl-Plus,afro dancehall,2012,280653,16,0.664,0.381,0.607,2.48E-05,0.0651,-8.92,0.177,108.043,4,Male,https://www.google.com/search?q=j.martins&sxsrf=AOaemvKIpmwG6ZPAhR7JfaFhJ1qWTPtXig%3A1638346432486&ei=wC6nYbSWHcWQ8gKRsrfIDg&ved=0ahUKEwi09oGJlML0AhVFiFwKHRHZDekQ4dUDCA4&uact=5&oq=j.martins&gs_lcp=Cgdnd3Mtd2l6EAMyBQguEIAEMgUIABCABDIFCC4QgAQyBQguEIAEMgUIABCABDIFCC4QgAQyBQguEIAEMgUILhCABDIFCAAQgAQyBQgAEIAEOgcIABBHELADOgcILhCwAxBDOgoILhDIAxCwAxBDOgUILhCRAjoRCC4QgAQQsQMQgwEQxwEQowI6DgguEIAEELEDEMcBENEDOgsIABCABBCxAxCDAToICC4QsQMQgwE6CwguEMcBEK8BEJECOgsILhCABBDHARDRAzoLCC4QgAQQxwEQrwFKBAhBGABQuxBYmxtgwRxoBXACeACAAb8CiAHjCZIBBzMuNC4wLjGYAQCgAQHIAQ_AAQE&sclient=gws-wiz
African Queen,Nigeria Gold (YouTube),2Baba,afro dancehall,2011,261426,0,0.464,0.428,0.83,0,0.518,-4.139,0.419,74.612,4,Male,https://www.google.com/search?q=j.martins&sxsrf=AOaemvKIpmwG6ZPAhR7JfaFhJ1qWTPtXig%3A1638346432486&ei=wC6nYbSWHcWQ8gKRsrfIDg&ved=0ahUKEwi09oGJlML0AhVFiFwKHRHZDekQ4dUDCA4&uact=5&oq=j.martins&gs_lcp=Cgdnd3Mtd2l6EAMyBQguEIAEMgUIABCABDIFCC4QgAQyBQguEIAEMgUIABCABDIFCC4QgAQyBQguEIAEMgUILhCABDIFCAAQgAQyBQgAEIAEOgcIABBHELADOgcILhCwAxBDOgoILhDIAxCwAxBDOgUILhCRAjoRCC4QgAQQsQMQgwEQxwEQowI6DgguEIAEELEDEMcBENEDOgsIABCABBCxAxCDAToICC4QsQMQgwE6CwguEMcBEK8BEJECOgsILhCABBDHARDRAzoLCC4QgAQQxwEQrwFKBAhBGABQuxBYmxtgwRxoBXACeACAAb8CiAHjCZIBBzMuNC4wLjGYAQCgAQHIAQ_AAQE&sclient=gws-wiz
Nfana Ibaga (No Problem),Face 2 Face 10.0,2Baba,afro dancehall,2014,265440,22,0.615,0.22,0.723,0,0.082,-4.808,0.404,97.998,4,Male,https://www.google.com/search?q=j.martins&sxsrf=AOaemvKIpmwG6ZPAhR7JfaFhJ1qWTPtXig%3A1638346432486&ei=wC6nYbSWHcWQ8gKRsrfIDg&ved=0ahUKEwi09oGJlML0AhVFiFwKHRHZDekQ4dUDCA4&uact=5&oq=j.martins&gs_lcp=Cgdnd3Mtd2l6EAMyBQguEIAEMgUIABCABDIFCC4QgAQyBQguEIAEMgUIABCABDIFCC4QgAQyBQguEIAEMgUILhCABDIFCAAQgAQyBQgAEIAEOgcIABBHELADOgcILhCwAxBDOgoILhDIAxCwAxBDOgUILhCRAjoRCC4QgAQQsQMQgwEQxwEQowI6DgguEIAEELEDEMcBENEDOgsIABCABBCxAxCDAToICC4QsQMQgwE6CwguEMcBEK8BEJECOgsILhCABBDHARDRAzoLCC4QgAQQxwEQrwFKBAhBGABQuxBYmxtgwRxoBXACeACAAb8CiAHjCZIBBzMuNC4wLjGYAQCgAQHIAQ_AAQE&sclient=gws-wiz
kolomental,Old & New,Various Artists,afro dancehall,2010,276610,0,0.889,0.0387,0.699,5.61E-05,0.121,-4.879,0.169,105.995,4,Male,https://www.google.com/search?q=Ycee&sxsrf=AOaemvI7ap6y62cErRvRRn_5P5GXOBd_4Q%3A1638269929846&ei=6QOmYdyQM82U8gL48L2gAw&ved=0ahUKEwicqduJ97_0AhVNilwKHXh4DzQQ4dUDCA8&uact=5&oq=Ycee&gs_lcp=Cgdnd3Mtd2l6EAMyBQguEJECMgUILhCABDIFCAAQgAQyBQgAEIAEMgUILhCABDIFCC4QgAQyBQgAEIAEMgUIABCABDIFCC4QgAQyBQgAEIAEOgcIABBHELADOgcIABCwAxBDOgQIIxAnOgsIABCxAxCDARCRAjoRCC4QgAQQsQMQgwEQxwEQ0QM6CAgAEIAEELEDOggILhCxAxCDAToICC4QgAQQsQM6DgguEIAEELEDEMcBENEDOgsILhCABBCxAxCDAToLCC4QgAQQxwEQrwE6CwgAEIAEELEDEIMBSgQIQRgAUMwGWNwNYO4OaANwAngAgAF8iAG-A5IBAzEuM5gBAKABAcgBBMABAQ&sclient=gws-wiz
Nigeria Jaga Jaga,Old & New,Various Artists,na,2010,187820,0,0.835,0.0304,0.757,0,0.333,-6.175,0.294,97.33,4,Male,https://www.google.com/search?q=Jilex+Anderson&sxsrf=AOaemvJ-B9w33dXN-bEeMKACY_TxXtU-lw%3A1638269910076&ei=1gOmYcb8A7Gg8gKn27jgDQ&ved=0ahUKEwjGv6SA97_0AhUxkFwKHactDtwQ4dUDCA8&uact=5&oq=Jilex+Anderson&gs_lcp=Cgdnd3Mtd2l6EAMyBQguEIAEMgUILhCABDIFCAAQgAQyBQgAEIAEMgUIABCABDIFCAAQgAQyBggAEBYQHjIGCAAQFhAeMgYIABAWEB4yBggAEBYQHjoHCAAQRxCwAzoHCAAQsAMQQzoKCC4QyAMQsAMQQzoECCMQJzoECC4QQzoECAAQQzoRCC4QgAQQsQMQgwEQxwEQowI6DgguEIAEELEDEMcBENEDOgUILhCRAjoHCC4QsQMQQzoICC4QgAQQsQM6CAguELEDEIMBOggILhCxAxCRAjoKCC4QsQMQgwEQQzoICAAQgAQQsQM6BwguEIAEEApKBAhBGABQpAZY7R9griFoA3ACeACAAYABiAHjCpIBAzkuNZgBAKABAcgBD8ABAQ&sclient=gws-wiz
Mr. Lecturer,Mr. Lecturer,Eedris Abdulkareem,afro dancehall,2003,255426,17,0.834,0.0162,0.734,4.30E-05,0.11,-8.623,0.0535,127.024,4,Male,https://www.google.com/search?q=joeboy&oq=joeboy&aqs=chrome..69i57j46i433i512j46i512j0i512j46i512j0i512j46i512j0i512j46i512l2.1171j0j9&sourceid=chrome&ie=UTF-8
Live in Yankee,Mr. Lecturer,Eedris Abdulkareem,afro dancehall,2003,274720,9,0.619,0.277,0.644,0,0.1,-7.93,0.112,100.15,4,Male,https://www.google.com/search?q=joeboy&oq=joeboy&aqs=chrome..69i57j46i433i512j46i512j0i512j46i512j0i512j46i512j0i512j46i512l2.1171j0j9&sourceid=chrome&ie=UTF-8
